age,engine,mileage,price,brand_Audi,brand_Citroën,brand_Fiat,brand_Honda,brand_Hyundai,brand_Jaguar,brand_Kia,brand_Mazda,brand_Mercedes,brand_Mitsubishi,brand_Nissan,brand_Opel,brand_Peugeot,brand_Porsche,brand_Renault,brand_Smart,brand_Tesla,brand_Toyota,brand_VW,brand_Volvo
1,107.0,7.9,23.89,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,150.0,3.9,25.95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,79.0,27.99,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,60.0,16.96,9.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,60.0,18.39,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,60.0,18.7,9.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,60.0,15.83,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,230.0,8.5,73.885,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,60.0,9.69,10.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,300.0,2.974,61.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,300.0,3.6,73.488,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50.0,13.048,13.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,67.0,15.588,11.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,67.0,13.654,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,67.0,9.504,10.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,42.0,38.5,11.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,64.0,15.625,11.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,41.0,6.187,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,100.0,0.0,27.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,64.0,3.596,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,80.0,14.43,12.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,79.0,25.6,10.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,67.0,9.9,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,52.0,13.552,11.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,52.0,14.536,11.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,79.0,15.2,11.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
