brand,year,engine,mileage,price
Mazda,"
2020
","

Elektro
107 kW (PS 146)
17.3

","

7.900
km

","
23.890 €
"
Opel,"
2020
","

Elektro
150 kW (PS 204)
14.5

","

3.900
km

","
25.950 €
"
Renault,"
2019
","

Elektro
79 kW (PS 108)


","

27.990
km

","
10.900 €
"
Smart,"
2017
","

Elektro
60 kW (PS 82)
12.0

","

16.960
km

","
9.840 €
"
Smart,"
2017
","

Elektro
60 kW (PS 82)
12.0

","

18.390
km

","
8.850 €
"
Smart,"
2017
","

Elektro
60 kW (PS 82)
12.0

","

18.700
km

","
9.840 €
"
Smart,"
2017
","

Elektro
60 kW (PS 82)
12.0

","

15.830
km

","
9.750 €
"
Audi,"
2020
","

Elektro
230 kW (PS 313)
23.9

","

8.500
km

","
73.885 €
"
Smart,"
2018
","

Elektro
60 kW (PS 82)
60.0

","

9.690
km

","
10.819 €
"
Mercedes,"
2020
","

Elektro
300 kW (PS 408)
19.7

","

2.974
km

","
61.900 €
"
Audi,"
2020
","

Elektro
300 kW (PS 408)
24.6

","

3.600
km

","
73.488 €
"
Renault,"
2020
","

Elektro
50 kW (PS 69)


","

13.048
km

","
13.490 €
"
Renault,"
2019
","

Elektro
67 kW (PS 92)
14.6

","

15.588
km

","
11.990 €
"
Renault,"
2019
","

Elektro
67 kW (PS 92)


","

13.654
km

","
11.750 €
"
Renault,"
2018
","

Elektro
67 kW (PS 92)


","

9.504
km

","
10.990 €
"
Renault,"
2019
","

Elektro
42 kW (PS 58)


","

38.500
km

","
11.989 €
"
Renault,"
2019
","

Elektro
64 kW (PS 88)


","

15.625
km

","
11.990 €
"
Smart,"
2018
","

Elektro
41 kW (PS 56)


","

6.187
km

","
10.290 €
"
Peugeot,"
2021
","

Elektro
100 kW (PS 136)
17.6

","

0
km

","
27.500 €
"
Renault,"
2019
","

Elektro
64 kW (PS 88)
14.6

","

3.596
km

","
12.990 €
"
Renault,"
2019
","

Elektro
80 kW (PS 109)
13.3

","

14.430
km

","
12.490 €
"
Renault,"
2018
","

Elektro
79 kW (PS 108)
43.0

","

25.600
km

","
10.890 €
"
Renault,"
2019
","

Elektro
67 kW (PS 92)
68.0

","

9.900
km

","
12.900 €
"
Renault,"
2019
","

Elektro
52 kW (PS 72)


","

13.552
km

","
11.990 €
"
Renault,"
2019
","

Elektro
52 kW (PS 72)


","

14.536
km

","
11.990 €
"
